,user_id,Recency,Frequency,Monetary,r_quartile,f_quartile,m_quartile,RFMScore
0,1,8,117,18339,4,2,2,422
1,2,-1,65,9092,1,4,4,144
2,3,6,91,11627,4,4,4,444
3,4,4,134,18241,4,1,2,412
4,5,-1,100,13539,1,3,4,134
5,6,-1,90,12769,1,4,4,144
6,7,0,155,23770,1,1,1,111
7,8,0,98,15496,1,3,3,133
8,9,6,132,19289,4,1,1,411
9,10,0,128,18894,1,2,1,121
10,11,0,120,17060,1,2,2,122
11,12,0,113,16624,1,2,2,122
12,13,3,96,12116,3,4,4,344
13,14,6,108,17803,4,3,2,432
14,15,2,97,14288,3,3,3,333
15,16,4,68,9951,4,4,4,444
16,17,-1,61,8108,1,4,4,144
17,18,4,109,15424,4,3,3,433
18,19,1,119,17442,2,2,2,222
19,20,-1,90,14856,1,4,3,143
20,21,11,61,9298,4,4,4,444
21,22,2,120,17618,3,2,2,322
22,23,1,127,19124,2,2,1,221
23,24,0,128,18147,1,2,2,122
24,25,6,60,9900,4,4,4,444
25,26,-1,103,17363,1,3,2,132
26,27,8,121,17957,4,2,2,422
27,28,-1,120,16305,1,2,2,122
28,29,2,98,15322,3,3,3,333
29,30,-1,92,14232,1,4,3,143
30,31,-1,121,18102,1,2,2,122
31,32,-1,123,17611,1,2,2,122
32,33,-1,99,13357,1,3,4,134
33,34,1,101,14569,2,3,3,233
34,35,2,176,26737,3,1,1,311
35,36,-1,136,19161,1,1,1,111
36,37,5,81,10526,4,4,4,444
37,38,3,61,8506,3,4,4,344
38,39,4,91,13923,4,4,3,443
39,40,2,129,18994,3,1,1,311
40,41,1,149,21558,2,1,1,211
41,42,4,54,8461,4,4,4,444
42,43,0,103,15224,1,3,3,133
43,44,5,129,18321,4,1,2,412
44,45,0,45,5984,1,4,4,144
45,46,-1,119,17315,1,2,2,122
46,47,5,133,17786,4,1,2,412
47,48,2,80,11890,3,4,4,344
48,49,0,133,18746,1,1,1,111
49,50,3,106,13545,3,3,4,334
50,51,2,116,17447,3,2,2,322
51,52,3,114,16605,3,2,2,322
52,53,2,49,7327,3,4,4,344
53,54,2,121,17031,3,2,2,322
54,55,0,127,19435,1,2,1,121
55,56,3,95,12491,3,4,4,344
56,57,1,113,17651,2,2,2,222
57,58,0,82,11607,1,4,4,144
