,user_id,book_id,rating,book_authors,book_isbn,book_pages,book_rating_count,book_review_count,book_title,language_code,genres,image_url,Invoice_Date,Quantity,Price
0,1,258,5,scott o'dell,9780000000000.0,184 pages,259832,7333,island of the blue dolphins,eng,young adult,https://images.gr-assets.com/books/1475166260l/233818.jpg,2019-09-14 21:32:13,1,51
1,2,4081,4,julia quinn,9780000000000.0,354 pages,42689,1832,the viscount who loved me,en-us,romance,https://images.gr-assets.com/books/1379594308l/861326.jpg,2019-05-29 21:26:23,5,23
2,2,260,5,ernest hemingway,9780000000000.0,471 pages,222235,5271,for whom the bell tolls,eng,classics,https://images.gr-assets.com/books/1492591524l/46170.jpg,2020-01-25 11:31:09,2,29
3,2,9296,5,robert newton peck,9780000000000.0,160 pages,8525,788,a day no pigs would die,en-gb,young adult,https://images.gr-assets.com/books/1323730338l/118041.jpg,2019-11-27 05:53:44,5,42
4,2,2318,3,barack obama,9780000000000.0,375 pages,122056,4754,the audacity of hope: thoughts on reclaiming the american dream,eng,nonfiction,https://images.gr-assets.com/books/1386925614l/9742.jpg,2019-07-02 23:48:24,4,30
5,2,26,4,orson scott card,9780000000000.0,324 pages,965351,40289,ender's game,eng,science fiction,https://images.gr-assets.com/books/1408303130l/375802.jpg,2019-10-06 01:24:58,3,37
6,2,315,3,charlaine harris,9780000000000.0,292 pages,466112,17465,dead until dark,eng,fantasy,https://images.gr-assets.com/books/1468560853l/301082.jpg,2019-10-09 16:08:54,4,79
7,2,33,4,l.m. montgomery,9780000000000.0,320 pages,599365,16797,anne of green gables,eng,classics,https://images.gr-assets.com/books/1390789015l/8127.jpg,2020-01-16 21:00:15,4,39
8,2,301,5,arthur conan doyle,9780000000000.0,1796 pages,137570,3084,"the complete sherlock holmes, vol 1",eng,classics,https://images.gr-assets.com/books/1512062096l/188572.jpg,2019-10-02 19:32:40,3,74
9,2,2686,5,isaac asimov|sönmez güven,9780000000000.0,256 pages,128378,2404,foundation and empire,,science fiction,https://images.gr-assets.com/books/1391454612l/29581.jpg,2019-11-15 22:29:45,3,21
10,2,3753,5,marissa meyer,,400 pages,548312,46567,cinder,eng,young adult,https://images.gr-assets.com/books/1507557775l/36381037.jpg,2020-01-02 07:42:19,3,54
11,2,8519,5,sarah j. maas,9780000000000.0,660 pages,55750,7397,tower of dawn,eng,fantasy,https://images.gr-assets.com/books/1497987643l/33306347.jpg,2019-04-25 07:11:09,4,46
12,4,70,4,sylvia plath|reinhard kaiser,9780000000000.0,244 pages,491544,18332,the bell jar,eng,classics,https://images.gr-assets.com/books/1473890514l/6514.jpg,2019-10-30 17:36:51,2,74
13,4,264,3,stephen king,9780000000000.0,592 pages,211307,5715,the green mile,en-us,horror,https://images.gr-assets.com/books/1373903563l/11566.jpg,2019-11-15 04:37:48,3,76
14,4,388,4,boris pasternak|max hayward|manya harari|john bayley,9780000000000.0,592 pages,70640,2508,doctor zhivago,en-us,classics,https://images.gr-assets.com/books/1385508725l/130440.jpg,2019-05-31 01:33:04,5,64
15,4,18,5,oscar wilde|jeffrey eugenides,9780000000000.0,367 pages,775701,22938,the picture of dorian gray,eng,fiction,https://images.gr-assets.com/books/1424596966l/5297.jpg,2020-02-04 04:27:06,5,41
16,4,27,5,stephen chbosky,9780000000000.0,213 pages,1063711,50846,the perks of being a wallflower,eng,young adult,https://images.gr-assets.com/books/1520093244l/22628.jpg,2019-06-20 15:01:38,2,30
17,4,21,5,charlotte brontë|michael mason,9780000000000.0,507 pages,1381404,34670,jane eyre,eng,classics,https://images.gr-assets.com/books/1327867269l/10210.jpg,2019-08-12 22:59:47,3,76
18,4,2,5,j.k. rowling|mary grandpré,9780000000000.0,870 pages,2041594,33264,harry potter and the order of the phoenix,eng,fantasy,https://images.gr-assets.com/books/1255614970l/2.jpg,2020-02-08 13:03:42,4,55
19,4,23,5,william golding,9780000000000.0,182 pages,1840595,30634,lord of the flies,eng,classics,https://images.gr-assets.com/books/1327869409l/7624.jpg,2020-01-29 10:42:26,2,68
20,4,24,5,paulo coelho|alan r. clarke|özdemir i̇nce,9780000000000.0,197 pages,1644387,63861,the alchemist,eng,fiction,https://images.gr-assets.com/books/1483412266l/865.jpg,2019-06-08 12:02:28,4,15
21,4,964,4,william s. burroughs|james grauerholz|barry  miles,9780000000000.0,289 pages,66315,3035,naked lunch,eng,fiction,https://images.gr-assets.com/books/1407330990l/7437.jpg,2020-01-25 14:34:05,2,46
22,4,103,5,sue monk kidd,9780000000000.0,336 pages,1001343,28026,the secret life of bees,eng,fiction,https://images.gr-assets.com/books/1473454532l/37435.jpg,2020-01-12 12:49:01,4,34
